# Estación meteorológica Xalapa-Enríquez, México, WMO_ID=76688, selección desde 01.01.2014 hasta 03.10.2014, todos los días
# Codificación: UTF-8
# Los datos han sido presentados por el sitio web "Real pronóstico", rp5.ru 
# Por favor, al utilizar los datos mencione este sitio.
# Determinación de los parámetros meteorológicos en el enlace: http://dev.rp5.ru.local/archive.php?wmo_id=27612&lang=en http://rp5.ru/archive.php?wmo_id=76688&lang=es
#
"Hora local en Xalapa-Enríquez";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.09.2014 19:00";"19.2";"647.1";"758.5";"0.1";"100";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"19.1";"27.0";"";"";"";"";"";"";"19.2";"24.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"30.09.2014 16:00";"23.2";"647.0";"756.7";"-1.5";"79";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"30.09.2014 13:00";"25.1";"648.5";"757.8";"";"64";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"24.1";"";"";"";"";"";"";"";"17.7";"";"";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"30.09.2014 04:00";"16.2";"648.3";"761.1";"-0.7";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"30.09.2014 01:00";"16.6";"649.0";"761.8";"0.0";"100";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"16.5";"26.0";"";"";"";"";"";"";"16.6";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 22:00";"16.9";"649.0";"761.7";"";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 16:00";"19.1";"647.6";"759.1";"-1.3";"97";"Viento procedente del noreste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"4.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 13:00";"23.4";"648.9";"758.8";"-0.4";"72";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"16.9";"24.3";"";"";"";"";"";"";"18.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 10:00";"23.3";"649.3";"759.4";"0.7";"67";"Viento procedente del este";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 07:00";"17.2";"648.6";"761.1";"0.4";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"17.2";"28.1";"";"";"";"";"";"";"17.2";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 04:00";"17.6";"648.2";"760.5";"-1.0";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.09.2014 01:00";"18.2";"649.2";"761.3";"0.0";"99";"Viento procedente del nornoroeste";"1";"";"";"";" ";"";"";"15.8";"28.1";"";"";"";"";"";"";"18.1";"1.0";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 22:00";"19.1";"649.2";"761.0";"1.3";"99";"Viento procedente del este";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"1.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 19:00";"21.8";"647.9";"758.4";"0.1";"87";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"15.8";"28.1";"";"";"";"";"";"";"19.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 16:00";"22.3";"647.8";"758.0";"-1.9";"84";"Viento procedente del este";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 13:00";"25.9";"649.7";"758.8";"0.1";"62";"Viento procedente del noreste";"1";"";"";"";" ";"";"";"15.8";"25.9";"";"";"";"";"";"";"18.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 10:00";"20.1";"649.6";"761.1";"0.9";"86";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 07:00";"16.2";"648.7";"761.5";"0.5";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"16.0";"26.7";"";"";"";"";"";"";"16.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 04:00";"17.1";"648.2";"760.6";"-1.1";"100";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.09.2014 01:00";"17.6";"649.3";"761.7";"0.2";"100";"Viento procedente del nornoreste";"1";"";"";"";" ";"";"";"14.4";"26.7";"";"";"";"";"";"";"17.6";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"27.09.2014 22:00";"18.4";"649.1";"761.2";"1.9";"100";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"27.09.2014 19:00";"20.7";"647.2";"758.1";"-0.3";"92";"Viento procedente del este";"1";"";"";"";" ";"";"";"14.4";"26.7";"";"";"";"";"";"";"19.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"27.09.2014 16:00";"22.9";"647.5";"757.6";"-1.3";"78";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"27.09.2014 13:00";"24.9";"648.8";"758.2";"-0.5";"65";"Viento procedente del este";"2";"";"";"";" ";"";"";"14.4";"26.7";"";"";"";"";"";"";"17.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"27.09.2014 10:00";"20.5";"649.3";"760.6";"";"78";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"26.09.2014 04:00";"16.7";"649.8";"762.7";"-0.9";"100";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"26.09.2014 01:00";"17.7";"650.7";"763.3";"0.1";"100";"Viento procedente del noreste";"1";"";"";"";" ";"";"";"15.1";"26.2";"";"";"";"";"";"";"17.7";"0.6";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 22:00";"18.0";"650.6";"763.1";"1.1";"99";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"0.4";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 19:00";"20.1";"649.5";"760.9";"-0.1";"89";"Viento procedente del sur";"2";"";"";"";" ";"";"";"15.1";"26.2";"";"";"";"";"";"";"18.2";"0.6";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 16:00";"18.9";"649.6";"761.5";"-1.6";"91";"Viento procedente del sur";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"2.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 13:00";"24.1";"651.2";"761.3";"-0.5";"63";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"15.1";"26.2";"";"";"";"";"";"";"16.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 10:00";"22.7";"651.7";"762.5";"0.4";"64";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 07:00";"15.8";"651.3";"764.8";"0.6";"99";"Calma, escampado";"0";"";"";"";" ";"";"";"15.1";"";"";"";"";"";"";"";"15.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 04:00";"15.8";"650.7";"764.2";"-0.7";"100";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"25.09.2014 01:00";"16.7";"651.4";"764.5";"0.0";"100";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"15.2";"25.7";"";"";"";"";"";"";"16.7";"2.0";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 22:00";"18.0";"651.4";"764.1";"1.5";"99";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"1.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 19:00";"19.2";"649.9";"761.8";"0.0";"94";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"15.2";"25.7";"";"";"";"";"";"";"18.2";"5.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 16:00";"22.6";"649.9";"760.3";"-1.2";"75";"Viento procedente del nornoreste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 13:00";"22.9";"651.1";"761.8";"-0.2";"74";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"15.2";"25.1";"";"";"";"";"";"";"17.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 10:00";"21.9";"651.3";"762.4";"1.2";"70";"Viento procedente del este";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 07:00";"15.6";"650.1";"763.5";"0.0";"100";"Viento procedente del oeste";"2";"";"";"";" ";"";"";"15.5";"";"";"";"";"";"";"";"15.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 04:00";"16.4";"650.1";"763.2";"-0.7";"100";"Viento procedente del oestenoroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.4";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"24.09.2014 01:00";"16.9";"650.8";"763.8";"0.0";"100";"Viento procedente del sur";"1";"";"";"";" ";"";"";"14.8";"27.0";"";"";"";"";"";"";"16.9";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.09.2014 22:00";"17.1";"650.8";"763.6";"1.4";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.09.2014 19:00";"18.0";"649.4";"761.7";"0.0";"99";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"14.8";"27.0";"";"";"";"";"";"";"17.9";"9.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.09.2014 16:00";"22.3";"649.4";"760.0";"-1.6";"80";"Viento procedente del este";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.09.2014 13:00";"25.8";"651.0";"760.3";"";"60";"Viento procedente del este";"2";"";"";"";" ";"";"";"14.8";"26.2";"";"";"";"";"";"";"17.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.09.2014 04:00";"16.7";"650.2";"763.3";"-0.9";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.09.2014 01:00";"18.1";"651.1";"763.7";"0.1";"99";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"16.8";"25.7";"";"";"";"";"";"";"18.0";"1.0";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 22:00";"18.2";"651.0";"763.5";"1.5";"99";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"1.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 19:00";"20.0";"649.5";"760.9";"-0.5";"92";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"16.8";"25.7";"";"";"";"";"";"";"18.6";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 16:00";"20.4";"650.0";"761.4";"-0.9";"89";"Viento procedente del noreste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 13:00";"24.6";"650.9";"760.8";"-0.1";"72";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"16.8";"25.7";"";"";"";"";"";"";"19.2";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 10:00";"24.0";"651.0";"761.1";"1.1";"70";"Viento procedente del estenoreste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 07:00";"17.6";"649.9";"762.4";"-0.4";"100";"Viento procedente del sur";"0";"";"";"";" ";"";"";"17.5";"";"";"";"";"";"";"";"17.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 04:00";"17.8";"650.3";"762.8";"-0.5";"100";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.09.2014 01:00";"17.8";"650.8";"763.5";"0.0";"99";"Calma, escampado";"0";"";"";"";" ";"";"";"16.3";"26.0";"";"";"";"";"";"";"17.7";"0.4";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 22:00";"19.1";"650.8";"763.0";"1.8";"99";"Viento procedente del sursuroeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 19:00";"20.4";"649.0";"760.3";"0.0";"94";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"16.3";"26.0";"";"";"";"";"";"";"19.4";"0.6";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 16:00";"25.8";"649.0";"758.1";"-1.4";"72";"Viento procedente del norte";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"20.3";"0.4";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 13:00";"23.6";"650.4";"760.6";"-0.4";"83";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"16.3";"25.2";"";"";"";"";"";"";"20.6";"1.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 10:00";"21.9";"650.8";"761.7";"1.5";"83";"Viento procedente del noreste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.8";"1.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 07:00";"16.3";"649.3";"762.4";"0.3";"99";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"16.3";"27.5";"";"";"";"";"";"";"16.2";"2.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 04:00";"16.9";"649.0";"761.7";"-0.6";"99";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"5.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.09.2014 01:00";"17.9";"649.6";"762.0";"-0.3";"100";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"16.3";"27.5";"";"";"";"";"";"";"17.9";"21.0";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 22:00";"18.3";"649.9";"762.1";"2.1";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"4.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 19:00";"21.5";"647.8";"758.5";"-0.1";"92";"Viento procedente del sursuroeste";"2";"";"";"";" ";"";"";"16.3";"27.5";"";"";"";"";"";"";"20.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 16:00";"26.8";"647.9";"756.4";"-1.5";"62";"Viento procedente del sursuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 13:00";"27.2";"649.4";"758.0";"-0.3";"64";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"16.3";"27.2";"";"";"";"";"";"";"19.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 10:00";"23.0";"649.7";"760.0";"1.4";"75";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 07:00";"16.5";"648.3";"761.0";"0.2";"99";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"16.3";"";"";"";"";"";"";"";"16.4";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 04:00";"17.7";"648.1";"760.3";"-1.1";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.09.2014 01:00";"19.5";"649.2";"760.9";"0.2";"98";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"17.3";"28.3";"";"";"";"";"";"";"19.1";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 22:00";"18.7";"649.0";"760.9";"1.1";"94";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 19:00";"19.2";"647.9";"759.4";"0.7";"96";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"17.3";"28.3";"";"";"";"";"";"";"18.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 16:00";"26.3";"647.2";"755.8";"-1.3";"74";"Viento procedente del sudeste";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"21.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 13:00";"25.3";"648.5";"757.7";"-0.7";"73";"Viento procedente del estenoreste";"2";"";"";"";" ";"";"";"17.3";"27.1";"";"";"";"";"";"";"20.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 10:00";"24.3";"649.2";"758.8";"0.8";"67";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 07:00";"17.5";"648.4";"760.7";"0.2";"96";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"17.3";"26.4";"";"";"";"";"";"";"16.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 04:00";"18.5";"648.2";"760.1";"-0.8";"99";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.09.2014 01:00";"20.1";"649.0";"760.4";"0.3";"96";"Viento procedente del sursuroeste";"1";"";"";"";" ";"";"";"19.8";"";"";"";"";"";"";"";"19.5";"0.2";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
